d,revenue,cnt_cus,cnt_pro,cnt
2010-12-01,58635.56,98.0,1351.0,26814.0
2010-12-02,46207.28,117.0,934.0,21023.0
2010-12-03,45620.46,55.0,1156.0,14830.0
2010-12-04,0.0,0.0,0.0,0.0
2010-12-05,31383.95,76.0,1151.0,16395.0
2010-12-06,53860.18,90.0,1479.0,21419.0
2010-12-07,45059.049999999996,70.0,1295.0,24995.0
2010-12-08,44189.840000000004,112.0,1229.0,22741.0
2010-12-09,52532.13,122.0,1301.0,18431.0
2010-12-10,57404.91,54.0,1270.0,20297.0
2010-12-11,0.0,0.0,0.0,0.0
2010-12-12,17240.920000000002,42.0,801.0,10565.0
2010-12-13,35379.340000000004,61.0,1172.0,17623.0
2010-12-14,42843.29,104.0,1030.0,20098.0
2010-12-15,29443.69,86.0,773.0,18229.0
2010-12-16,48334.35,117.0,937.0,29632.0
2010-12-17,43534.19,52.0,1372.0,16069.0
2010-12-18,0.0,0.0,0.0,0.0
2010-12-19,7517.31,17.0,392.0,3795.0
2010-12-20,24741.75,59.0,958.0,14965.0
2010-12-21,47097.94,31.0,832.0,15467.0
2010-12-22,6134.570000000001,17.0,249.0,3192.0
2010-12-23,11796.31,23.0,795.0,5648.0
2010-12-24,0.0,0.0,0.0,0.0
2010-12-25,0.0,0.0,0.0,0.0
2010-12-26,0.0,0.0,0.0,0.0
2010-12-27,0.0,0.0,0.0,0.0
2010-12-28,0.0,0.0,0.0,0.0
2010-12-29,0.0,0.0,0.0,0.0
2010-12-30,0.0,0.0,0.0,0.0
2010-12-31,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0
2011-01-02,0.0,0.0,0.0,0.0
2011-01-03,0.0,0.0,0.0,0.0
2011-01-04,14950.48,38.0,833.0,7939.0
2011-01-05,-1566.23,56.0,1023.0,18435.0
2011-01-06,37392.74,66.0,1020.0,22461.0
2011-01-07,27233.14,49.0,1035.0,16475.0
2011-01-08,0.0,0.0,0.0,0.0
2011-01-09,15710.8,48.0,651.0,8181.0
2011-01-10,24191.64,35.0,1110.0,9014.0
2011-01-11,67817.13,61.0,956.0,29093.0
