d,revenue,cnt_cus,cnt_pro
2010-12-01,58635.56,98,1351
2010-12-02,46207.28,117,934
2010-12-03,45620.46,55,1156
2010-12-05,31383.95,76,1151
2010-12-06,53860.18,90,1479
2010-12-07,45059.049999999996,70,1295
2010-12-08,44189.840000000004,112,1229
2010-12-09,52532.13,122,1301
2010-12-10,57404.91,54,1270
2010-12-12,17240.920000000002,42,801
2010-12-13,35379.340000000004,61,1172
2010-12-14,42843.29,104,1030
2010-12-15,29443.69,86,773
2010-12-16,48334.35,117,937
2010-12-17,43534.19,52,1372
2010-12-19,7517.31,17,392
2010-12-20,24741.75,59,958
2010-12-21,47097.94,31,832
2010-12-22,6134.570000000001,17,249
2010-12-23,11796.31,23,795
2011-01-04,14950.48,38,833
2011-01-05,-1566.23,56,1023
2011-01-06,37392.74,66,1020
2011-01-07,27233.14,49,1035
2011-01-09,15710.8,48,651
2011-01-10,24191.64,35,1110
2011-01-11,67817.13,61,956
2011-01-12,23958.78,49,1084
2011-01-13,20533.54,47,954
2011-01-14,47377.26,46,907
2011-01-16,7116.61,22,424
2011-01-17,29256.0,48,1214
2011-01-18,18680.799999999996,34,900
2011-01-19,25585.81,35,955
2011-01-20,17995.91,37,963
2011-01-21,31978.44,51,989
2011-01-23,10285.95,27,573
2011-01-24,25555.62,46,848
2011-01-25,27971.52,71,893
2011-01-26,19493.32,57,775
2011-01-27,21092.14,63,898
2011-01-28,18567.77,44,662
2011-01-30,6456.4400000000005,22,488
2011-01-31,22364.65,64,848
2011-02-01,28433.22,65,849
2011-02-02,21048.45,59,802
2011-02-03,23344.58,48,604
2011-02-04,24994.170000000002,42,760
2011-02-06,3457.11,11,220
2011-02-07,25525.99,39,811
2011-02-08,20728.14,42,771
2011-02-09,16692.58,22,604
2011-02-10,13427.54,58,532
2011-02-11,20387.28,70,665
2011-02-13,5535.4,21,430
2011-02-14,26222.03,46,721
2011-02-15,36842.58,48,816
2011-02-16,24730.81,56,699
2011-02-17,26361.87,51,878
