d,StockCode,revenue,cnt_cus,cnt_pro,cnt_trans
2010-12-01,10002,51.0,2,60,2
2010-12-01,10125,1.7,1,2,1
2010-12-01,10133,4.25,1,5,1
2010-12-01,10135,2.51,0,1,1
2010-12-01,11001,10.08,0,3,1
2010-12-01,15044B,2.95,1,1,1
2010-12-01,15056BL,113.0,3,20,3
2010-12-01,15056N,236.3,3,50,3
2010-12-01,15056P,220.8,1,48,1
2010-12-01,16014,4.2,1,10,1
2010-12-01,16016,8.5,1,10,1
2010-12-01,16168M,1.7,0,2,1
2010-12-01,16236,0.86,0,2,2
2010-12-01,16237,16.9,2,70,4
2010-12-01,16238,8.46,1,34,3
2010-12-01,16258A,0.42,1,1,1
2010-12-01,17003,8.85,1,39,2
2010-12-01,17011F,4.21,0,1,1
2010-12-01,17012A,10.04,0,4,2
2010-12-01,17012B,7.529999999999999,0,3,2
2010-12-01,17012C,5.02,0,2,2
2010-12-01,17012D,5.02,0,2,2
2010-12-01,17012E,5.02,0,2,2
2010-12-01,17012F,5.02,0,2,2
2010-12-01,17014A,3.36,0,1,1
2010-12-01,17021,144.0,1,600,1
2010-12-01,17084N,0.86,0,2,1
2010-12-01,17084P,0.43,0,1,1
2010-12-01,17091A,1.25,1,1,1
2010-12-01,17129F,3.32,0,2,1
2010-12-01,17164B,0.84,1,2,1
2010-12-01,18098C,11.82,0,2,1
2010-12-01,20616,8.41,1,3,2
2010-12-01,20617,4.21,0,1,1
2010-12-01,20619,4.21,0,1,1
2010-12-01,20622,4.21,0,1,1
2010-12-01,20653,2.51,0,1,1
2010-12-01,20658,2.51,0,1,1
2010-12-01,20662,2.51,0,1,1
2010-12-01,20665,8.850000000000001,0,3,1
2010-12-01,20668,38.0,3,344,5
2010-12-01,20669,3.76,1,2,2
2010-12-01,20676,2.51,0,1,1
2010-12-01,20679,196.15,3,37,6
2010-12-01,20681,6.77,0,1,1
2010-12-01,20682,16.79,1,3,2
2010-12-01,20684,6.77,0,1,1
2010-12-01,20685,213.03,5,29,6
2010-12-01,20696,7.62,0,1,1
2010-12-01,20697,2.55,0,1,1
2010-12-01,20699,10.12,0,2,1
2010-12-01,20700,10.17,0,1,1
2010-12-01,20707,1.25,1,1,1
2010-12-01,20711,39.0,1,20,1
2010-12-01,20712,58.5,2,30,2
2010-12-01,20713,79.95,3,41,3
2010-12-01,20717,3.76,1,2,2
2010-12-01,20718,2.51,0,1,1
2010-12-01,20719,3.32,0,2,1
2010-12-01,20723,11.01,2,12,3
2010-12-01,20724,6.640000000000001,0,4,2
2010-12-01,20725,132.06,4,78,6
2010-12-01,20726,3.3,2,2,2
2010-12-01,20727,220.37,4,145,6
2010-12-01,20728,36.3,2,22,3
2010-12-01,20733,5.949999999999999,0,7,2
2010-12-01,20735,4.25,0,5,2
2010-12-01,20749,31.8,3,4,3
2010-12-01,20750,95.4,3,12,3
2010-12-01,20752,4.21,0,1,1
2010-12-01,20754,18.91,2,8,3
2010-12-01,20755,5.1,1,6,1
2010-12-01,20761,7.62,0,1,1
2010-12-01,20765,7.5,1,2,1
2010-12-01,20768,2.55,1,1,1
2010-12-01,20770,10.04,0,4,1
2010-12-01,20772,7.609999999999999,1,2,2
2010-12-01,20773,3.3,1,2,1
2010-12-01,20774,3.3,1,2,1
2010-12-01,20777,3.3,1,2,1
2010-12-01,20780,16.509999999999998,1,2,2
2010-12-01,20820,14.85,1,3,1
2010-12-01,20835,11.02,0,1,1
2010-12-01,20839,9.32,0,1,1
2010-12-01,20840,9.32,0,1,1
2010-12-01,20846,2.51,0,1,1
2010-12-01,20854,9.9,0,6,1
2010-12-01,20856,9.9,0,6,1
2010-12-01,20866,1.25,1,1,1
2010-12-01,20867,47.51,1,37,2
2010-12-01,20878,3.75,2,3,2
2010-12-01,20902,25.42,1,3,2
2010-12-01,20914,358.89,4,135,6
2010-12-01,20931,15.24,0,2,1
2010-12-01,20950,0.0,0,1,1
2010-12-01,20956,7.529999999999999,0,3,2
2010-12-01,20957,-1.45,1,-1,1
2010-12-01,20961,8.78,1,4,3
2010-12-01,20963,5.01,2,3,3
2010-12-01,20966,18.799999999999997,2,10,4
2010-12-01,20969,15.24,0,2,1
2010-12-01,20970,11.25,0,3,1
2010-12-01,20971,155.14999999999998,1,145,2
2010-12-01,20972,26.28,3,18,5
2010-12-01,20973,21.78,1,18,3
2010-12-01,20974,17.31,1,15,2
2010-12-01,20975,24.32,0,19,2
2010-12-01,20977,20.0,1,16,1
2010-12-01,20978,2.5,1,2,1
2010-12-01,20979,20.0,1,16,1
2010-12-01,20981,1.66,0,1,1
2010-12-01,20982,10.2,1,12,1
2010-12-01,20992,9.309999999999999,1,10,2
2010-12-01,20996,0.84,0,1,1
2010-12-01,21000,3.36,0,1,1
2010-12-01,21002,6.72,0,2,1
2010-12-01,21012,20.08,0,8,2
2010-12-01,21014,1.7,1,2,1
2010-12-01,21015,1.28,0,1,1
2010-12-01,21018,1.7,1,2,1
2010-12-01,21033,41.3,2,14,2
2010-12-01,21034,3.8,3,4,3
2010-12-01,21035,94.45,3,27,5
2010-12-01,21038,2.95,1,1,1
2010-12-01,21041,20.67,3,5,4
2010-12-01,21055,78.71,2,7,3
2010-12-01,21056,35.8,1,4,1
2010-12-01,21061,10.2,1,12,1
2010-12-01,21062,10.2,1,12,1
2010-12-01,21063,10.2,1,12,1
2010-12-01,21065,5.95,1,1,1
2010-12-01,21067,2.51,0,1,1
2010-12-01,21068,27.950000000000003,1,25,5
2010-12-01,21069,5.02,0,2,2
2010-12-01,21070,2.51,0,1,1
2010-12-01,21071,61.71,3,51,8
2010-12-01,21080,93.7,2,133,3
2010-12-01,21086,31.200000000000003,1,48,1
2010-12-01,21094,71.64,2,108,2
2010-12-01,21098,132.95,3,61,5
2010-12-01,21106,17.700000000000003,1,6,1
2010-12-01,21107,329.61,2,127,4
2010-12-01,21108,157.22,2,40,4
2010-12-01,21109,13.57,0,1,1
2010-12-01,21110,27.14,0,2,1
2010-12-01,21111,32.47,2,9,3
2010-12-01,21115,41.43,1,5,2
2010-12-01,21116,13.420000000000002,1,2,2
2010-12-01,21121,51.32,3,34,5
2010-12-01,21122,6.25,4,5,5
2010-12-01,21123,1.25,1,1,1
2010-12-01,21124,5.0,3,4,3
2010-12-01,21125,15.0,1,12,1
2010-12-01,21126,15.0,1,12,1
2010-12-01,21128,12.72,0,1,1
2010-12-01,21134,0.0,0,1,1
2010-12-01,21135,27.04,1,16,1
2010-12-01,21136,13.52,1,8,1
2010-12-01,21137,1830.6000000000001,2,540,2
2010-12-01,21143,5.85,1,3,1
2010-12-01,21147,9.219999999999999,1,4,2
2010-12-01,21154,219.53,1,203,3
2010-12-01,21156,256.8,4,152,6
2010-12-01,21158,6.72,0,2,1
2010-12-01,21164,5.91,0,1,1
2010-12-01,21165,16.84,0,4,2
2010-12-01,21166,57.169999999999995,3,27,4
2010-12-01,21169,12.66,2,6,3
2010-12-01,21174,21.05,0,5,2
2010-12-01,21175,14.72,2,5,3
2010-12-01,21179,1.25,1,1,1
2010-12-01,21181,33.620000000000005,1,14,2
2010-12-01,21188,11.82,0,2,1
2010-12-01,21189,13.44,0,4,1
2010-12-01,21190,3.3,2,2,2
2010-12-01,21191,50.510000000000005,1,13,3
2010-12-01,21192,11.669999999999998,1,5,2
2010-12-01,21195,21.05,0,5,1
2010-12-01,21197,1.65,1,1,1
2010-12-01,21207,6.72,0,2,1
2010-12-01,21208,3.36,0,1,1
2010-12-01,21210,20.38,1,13,2
2010-12-01,21212,131.54999999999998,7,241,10
2010-12-01,21213,30.24,2,51,4
2010-12-01,21216,11.02,0,1,1
2010-12-01,21217,21.23,0,1,1
2010-12-01,21218,4.720000000000001,1,0,3
2010-12-01,21220,2.51,0,1,1
2010-12-01,21221,6.25,1,5,1
2010-12-01,21231,60.12,2,36,4
2010-12-01,21232,656.55,4,549,8
2010-12-01,21238,7.489999999999999,1,5,2
2010-12-01,21242,1.69,1,1,1
2010-12-01,21243,1.69,1,1,1
2010-12-01,21244,1.69,1,1,1
2010-12-01,21245,1.69,1,1,1
2010-12-01,21249,11.82,0,2,2
2010-12-01,21257,48.16,1,4,2
2010-12-01,21258,477.85999999999996,3,38,5
2010-12-01,21259,47.6,3,8,3
2010-12-01,21260,42.25,2,13,2
2010-12-01,21262,22.86,0,3,2
2010-12-01,21272,2.51,0,1,1
2010-12-01,21279,5.06,0,1,1
2010-12-01,21281,5.06,0,1,1
2010-12-01,21288,5.91,0,1,1
2010-12-01,21292,13.6,1,16,1
2010-12-01,21313,16.599999999999998,0,10,2
2010-12-01,21314,189.8,2,76,4
2010-12-01,21324,23.6,2,8,2
2010-12-01,21326,102.6,4,180,4
2010-12-01,21327,5.01,1,2,2
2010-12-01,21328,10.02,2,4,3
2010-12-01,21329,1.65,1,1,1
2010-12-01,21333,35.400000000000006,1,12,1
2010-12-01,21340,76.49,3,5,4
2010-12-01,21349,54.28,0,4,2
2010-12-01,21351,13.5,1,2,1
2010-12-01,21352,66.69,1,11,3
2010-12-01,21354,15.11,1,13,2
2010-12-01,21356,2.51,0,1,1
2010-12-01,21358,2.5,1,2,1
2010-12-01,21363,19.8,2,4,2
2010-12-01,21365,23.610000000000003,1,7,2
2010-12-01,21366,8.47,0,1,1
2010-12-01,21367,2.55,1,1,1
2010-12-01,21369,11.370000000000001,0,2,2
2010-12-01,21370,12.7,1,2,1
2010-12-01,21372,8.86,0,2,2
2010-12-01,21374,15.0,1,4,1
2010-12-01,21380,2.95,1,1,1
2010-12-01,21385,3.32,0,2,1
2010-12-01,21398,2.1,1,1,1
2010-12-01,21407,16.94,0,2,1
2010-12-01,21408,8.47,0,1,1
2010-12-01,21411,25.5,2,6,2
2010-12-01,21427,6.300000000000001,2,3,2
2010-12-01,21429,40.08,1,16,3
2010-12-01,21439,2.51,0,1,1
2010-12-01,21441,10.2,1,12,1
2010-12-01,21447,2.51,0,1,1
2010-12-01,21448,13.2,1,8,5
2010-12-01,21452,35.4,2,12,2
2010-12-01,21462,6.75,1,1,1
2010-12-01,21463,5.95,1,1,1
2010-12-01,21464,4.25,1,1,1
2010-12-01,21466,3.75,1,1,1
2010-12-01,21467,3.75,1,1,1
2010-12-01,21469,3.75,1,1,1
2010-12-01,21471,3.75,1,1,1
2010-12-01,21472,22.5,1,6,1
2010-12-01,21479,211.56,6,43,8
2010-12-01,21481,70.83000000000001,3,21,4
