m,StockCode,revenue,cnt_cus,cnt_pro
2010-12-01,10002,234.41,15,251
2010-12-01,10120,3.36,4,16
2010-12-01,10123C,0.65,1,1
2010-12-01,10124A,1.68,1,4
2010-12-01,10124G,2.1,1,5
2010-12-01,10125,90.86,7,154
2010-12-01,10133,85.27,12,130
2010-12-01,10135,279.02,17,411
2010-12-01,11001,136.73,6,73
2010-12-01,15034,11.27,4,45
2010-12-01,15036,100.12,11,113
2010-12-01,15039,19.43,3,20
2010-12-01,15044A,17.700000000000003,1,6
2010-12-01,15044B,11.81,2,3
2010-12-01,15044C,38.38,2,10
2010-12-01,15044D,5.91,0,1
2010-12-01,15056BL,1148.76,22,188
2010-12-01,15056N,782.6700000000001,24,135
2010-12-01,15056P,347.39,10,67
2010-12-01,15056bl,139.92,0,11
2010-12-01,15056n,139.92000000000002,0,11
2010-12-01,15056p,63.6,0,5
2010-12-01,15058A,7.95,1,1
2010-12-01,15058B,7.95,1,1
2010-12-01,15060B,257.2,12,56
2010-12-01,16008,3.5,2,14
2010-12-01,16010,1.44,1,12
2010-12-01,16011,19.740000000000002,4,94
2010-12-01,16012,25.2,4,120
2010-12-01,16014,332.18,6,1029
2010-12-01,16015,10.5,2,21
2010-12-01,16016,23.8,5,28
2010-12-01,16033,28.8,2,240
2010-12-01,16045,12.0,1,100
2010-12-01,16046,8.499999999999998,2,10
2010-12-01,16048,12.629999999999999,1,27
2010-12-01,16052,1.68,0,2
2010-12-01,16054,0.84,1,2
2010-12-01,16156S,94.5,9,225
2010-12-01,16161M,10.5,1,25
2010-12-01,16161P,21.0,2,50
2010-12-01,16161U,42.0,4,100
2010-12-01,16168M,12.629999999999999,1,27
2010-12-01,16169K,10.5,1,25
2010-12-01,16169N,10.5,1,25
2010-12-01,16169P,21.0,2,50
2010-12-01,16202E,-5.55,1,-1
2010-12-01,16206B,2.5,1,2
2010-12-01,16207A,5.9,1,2
2010-12-01,16216,3.2,2,20
2010-12-01,16218,7.1899999999999995,1,8
2010-12-01,16219,4.22,1,13
2010-12-01,16225,156.88,5,272
2010-12-01,16235,39.6,3,154
2010-12-01,16236,15.92,3,58
2010-12-01,16237,122.37,13,615
2010-12-01,16238,24.44,3,86
2010-12-01,16258A,3.78,3,6
2010-12-01,17003,212.75,10,1151
2010-12-01,17007B,25.200000000000003,1,12
2010-12-01,17011F,6.3100000000000005,1,2
2010-12-01,17012A,37.14,2,34
2010-12-01,17012B,62.48,3,44
2010-12-01,17012C,124.0,4,132
2010-12-01,17012D,32.91,2,13
2010-12-01,17012E,74.64,3,68
2010-12-01,17012F,57.699999999999996,3,42
2010-12-01,17013D,48.629999999999995,2,100
2010-12-01,17014A,15.36,1,25
2010-12-01,17021,169.8,6,686
2010-12-01,17038,8.700000000000001,1,102
2010-12-01,17084J,5.25,1,25
2010-12-01,17084N,10.84,1,38
2010-12-01,17084P,5.68,1,26
2010-12-01,17084R,275.76,3,1656
2010-12-01,17090A,39.35,3,43
2010-12-01,17090D,10.0,3,8
2010-12-01,17091A,36.18,7,138
2010-12-01,17091J,143.5,11,212
2010-12-01,17096,295.05000000000007,1,1731
2010-12-01,17107D,86.7,6,34
2010-12-01,17109D,3.38,1,2
2010-12-01,17129F,8.299999999999999,0,5
2010-12-01,17164B,5.04,4,12
2010-12-01,17165D,18.900000000000002,4,18
2010-12-01,18007,15.000000000000002,4,75
2010-12-01,18094C,23.78,2,16
2010-12-01,18097A,2.55,1,1
2010-12-01,18097C,191.01,11,69
2010-12-01,18098C,415.74,14,-8
2010-12-01,18098c,263.12,0,52
2010-12-01,20615,71.1,5,21
2010-12-01,20616,52.83,2,53
2010-12-01,20617,32.75,2,13
2010-12-01,20618,15.94,2,6
2010-12-01,20619,45.19,1,52
2010-12-01,20622,67.56,3,57
2010-12-01,20652,12.579999999999998,1,9
2010-12-01,20653,5.02,0,2
2010-12-01,20654,9.2,2,8
2010-12-01,20655,20.08,4,14
2010-12-01,20657,3.75,3,3
2010-12-01,20658,83.89999999999999,10,52
2010-12-01,20659,12.959999999999999,3,10
2010-12-01,20661,2.95,1,1
2010-12-01,20662,7.529999999999999,0,3
2010-12-01,20663,7.97,1,3
2010-12-01,20664,17.700000000000003,3,6
2010-12-01,20665,215.54000000000002,10,54
2010-12-01,20666,2.95,1,1
2010-12-01,20668,210.67,14,1883
2010-12-01,20669,67.63,6,41
2010-12-01,20670,2.95,1,1
2010-12-01,20671,12.5,2,10
2010-12-01,20674,71.28999999999999,10,53
2010-12-01,20675,153.86,14,130
2010-12-01,20676,223.22,15,171
2010-12-01,20677,301.3,13,237
2010-12-01,20679,836.7500000000001,18,142
2010-12-01,20681,177.93,10,45
2010-12-01,20682,434.66999999999996,13,113
2010-12-01,20684,26.81,2,-14
2010-12-01,20685,2974.41,53,384
2010-12-01,20686,79.62,4,18
2010-12-01,20694,15.24,0,2
2010-12-01,20695,4.25,1,1
2010-12-01,20696,63.72,2,14
2010-12-01,20697,5.1,1,2
2010-12-01,20699,60.64,1,15
2010-12-01,20700,24.09,1,3
2010-12-01,20701,3.75,1,1
2010-12-01,20702,55.25,2,13
2010-12-01,20703,-12.75,1,-3
2010-12-01,20704,170.43,9,81
2010-12-01,20705,107.25,6,55
2010-12-01,20707,7.52,2,4
2010-12-01,20711,725.63,12,291
2010-12-01,20712,932.3,19,372
2010-12-01,20713,964.01,32,495
2010-12-01,20716,42.55,5,29
2010-12-01,20717,205.76,11,145
2010-12-01,20718,605.14,17,269
2010-12-01,20719,1620.6,21,1046
2010-12-01,20723,812.28,18,430
2010-12-01,20724,1314.7,32,758
2010-12-01,20725,1443.04,52,729
2010-12-01,20726,1175.83,38,572
2010-12-01,20727,1045.95,40,522
2010-12-01,20728,926.16,35,507
2010-12-01,20731,1.25,1,1
2010-12-01,20733,283.15,6,379
2010-12-01,20734,49.269999999999996,0,22
2010-12-01,20735,198.75,3,171
2010-12-01,20748,102.0,5,8
2010-12-01,20749,1041.93,31,142
2010-12-01,20750,1350.84,32,181
2010-12-01,20751,210.05,22,95
2010-12-01,20752,166.04,13,65
2010-12-01,20754,458.17,28,181
2010-12-01,20755,22.75,4,22
2010-12-01,20757,21.25,5,25
2010-12-01,20758,11.05,2,13
2010-12-01,20759,4.25,2,5
2010-12-01,20760,3.4,2,4
2010-12-01,20761,52.74,5,12
2010-12-01,20762,63.99,7,15
2010-12-01,20763,37.620000000000005,4,9
2010-12-01,20764,56.49,7,13
2010-12-01,20765,48.87,7,12
2010-12-01,20766,37.86,4,7
2010-12-01,20767,38.05,3,10
2010-12-01,20768,22.869999999999997,2,7
2010-12-01,20769,10.2,2,4
2010-12-01,20770,62.989999999999995,4,25
2010-12-01,20771,15.299999999999997,3,6
2010-12-01,20772,35.58,5,11
2010-12-01,20773,28.049999999999997,5,17
2010-12-01,20774,13.2,4,8
2010-12-01,20775,28.529999999999998,1,9
2010-12-01,20777,19.919999999999998,4,10
2010-12-01,20778,6.6,2,4
2010-12-01,20780,182.26999999999998,4,30
2010-12-01,20781,71.49,3,10
2010-12-01,20782,153.92,3,23
2010-12-01,20793,6.75,1,1
2010-12-01,20794,7.609999999999999,1,2
2010-12-01,20798,48.00000000000001,4,22
2010-12-01,20801,112.48,6,110
2010-12-01,20802,151.98,10,218
2010-12-01,20803,47.04,3,77
2010-12-01,20818,15.24,0,2
2010-12-01,20819,3.75,1,1
2010-12-01,20820,14.85,1,3
2010-12-01,20826,12.72,1,6
2010-12-01,20828,267.59,21,101
2010-12-01,20829,220.53,16,102
2010-12-01,20830,42.04,2,16
2010-12-01,20831,12.6,1,6
2010-12-01,20832,40.4,3,40
2010-12-01,20835,11.02,0,1
2010-12-01,20839,45.660000000000004,1,9
2010-12-01,20840,9.32,0,1
2010-12-01,20846,75.18,2,42
2010-12-01,20847,30.240000000000002,1,6
2010-12-01,20848,11.8,1,4
2010-12-01,20849,0.0,0,1
2010-12-01,20854,102.39,10,61
2010-12-01,20856,49.55,5,30
2010-12-01,20857,18.15,4,11
2010-12-01,20860,2.1,0,1
2010-12-01,20861,4.2,2,2
2010-12-01,20866,39.8,3,30
2010-12-01,20867,128.53,4,91
2010-12-01,20868,37.25,2,41
2010-12-01,20869,10.64,0,11
2010-12-01,20871,8.42,0,2
2010-12-01,20878,31.25,7,27
2010-12-01,20886,133.44,7,58
2010-12-01,20892,89.22,1,-28
2010-12-01,20893,231.86,2,109
2010-12-01,20894,11.8,2,4
2010-12-01,20897,23.64,2,4
2010-12-01,20902,178.06,1,15
2010-12-01,20903,38.14,1,4
2010-12-01,20906,2.95,1,1
2010-12-01,20910,50.8,2,8
2010-12-01,20914,1444.26,49,486
2010-12-01,20931,76.08,1,11
2010-12-01,20932,34.230000000000004,1,5
2010-12-01,20934,22.04,0,2
2010-12-01,20936,41.330000000000005,2,11
2010-12-01,20941,17.53,2,-13
2010-12-01,20950,0.0,0,1
2010-12-01,20954,16.94,0,2
2010-12-01,20956,181.57999999999998,7,-323
2010-12-01,20957,-1.45,1,-1
2010-12-01,20960,57.73,0,23
2010-12-01,20961,430.43,20,301
2010-12-01,20963,500.53999999999996,22,346
2010-12-01,20966,614.68,22,248
