m,CustomerID,revenue,cnt_cus,cnt_pro
2010-12-01,12347,711.79,31,319
2010-12-01,12348,892.8,13,1254
2010-12-01,12370,1868.02,90,968
2010-12-01,12377,1001.52,43,604
2010-12-01,12383,600.72,37,754
2010-12-01,12386,258.90000000000003,8,214
2010-12-01,12395,679.92,29,753
2010-12-01,12417,291.34,11,60
2010-12-01,12423,237.93,16,188
2010-12-01,12427,246.55,10,70
2010-12-01,12429,1281.5,20,454
2010-12-01,12431,773.95,21,253
2010-12-01,12433,3787.12,79,3582
2010-12-01,12434,-27.75,3,-13
2010-12-01,12441,173.55,11,121
2010-12-01,12471,3556.71,59,1487
2010-12-01,12472,1509.0,77,932
2010-12-01,12474,-34.0,1,-4
2010-12-01,12476,-12.45,2,-2
2010-12-01,12481,791.34,21,319
2010-12-01,12494,48.75,4,6
2010-12-01,12515,383.7,16,131
2010-12-01,12540,881.01,20,300
2010-12-01,12551,168.0,10,100
2010-12-01,12557,620.0,5,400
2010-12-01,12567,1942.38,80,778
2010-12-01,12577,195.89,67,134
2010-12-01,12583,855.86,20,449
2010-12-01,12585,1262.85,65,872
2010-12-01,12586,-17.0,1,-2
2010-12-01,12600,274.8,6,74
2010-12-01,12605,-7.5,3,-4
2010-12-01,12621,1372.1,31,548
2010-12-01,12647,1140.7,37,317
2010-12-01,12649,-19.8,2,-12
2010-12-01,12662,261.48,15,157
2010-12-01,12666,-227.44,2,-56
2010-12-01,12668,469.87,24,337
2010-12-01,12678,221.28,5,26
2010-12-01,12681,2118.11,71,1189
2010-12-01,12682,1075.29,41,476
2010-12-01,12683,1063.08,52,664
2010-12-01,12686,89.14,7,107
2010-12-01,12691,180.0,5,65
2010-12-01,12705,858.0,30,397
2010-12-01,12708,196.44,14,89
2010-12-01,12709,1315.69,14,272
2010-12-01,12712,457.88,19,141
2010-12-01,12720,639.13,40,522
2010-12-01,12721,259.45,18,124
2010-12-01,12725,427.8,24,164
2010-12-01,12726,170.28,6,333
2010-12-01,12731,1071.9,16,418
2010-12-01,12734,110.39999999999999,4,88
2010-12-01,12738,155.35,11,148
2010-12-01,12747,706.27,12,213
2010-12-01,12748,4177.68,493,2835
2010-12-01,12753,3590.59,48,2409
2010-12-01,12755,3794.4,1,1488
2010-12-01,12763,320.08,16,196
2010-12-01,12766,1149.29,53,424
2010-12-01,12779,248.16,8,140
2010-12-01,12782,463.5,22,193
2010-12-01,12785,311.95,14,131
2010-12-01,12791,192.60000000000002,2,97
2010-12-01,12793,131.8,7,65
2010-12-01,12797,194.18,13,79
2010-12-01,12808,129.4,7,53
2010-12-01,12826,155.0,9,80
2010-12-01,12829,85.75,5,125
2010-12-01,12838,390.79,59,228
